RegionId,Name,Observations,Sum,Sentiment
1133414,"11703133414",10,298.31,29.83
1133723,"11703133723",1235,64289.83,52.06
1133750,"11703133750",300,13534.17,45.11
2133602,"21301133602",1,49.39,49.39
5116525,"50702116525",94,4579.09,48.71
5113334,"50604113334",1,36.12,36.12
1133919,"11801133919",110,4590.27,41.73
3107632,"30305107632",2,88.87,44.44
5104118,"50302104118",296,12799.04,43.24
2112246,"20604112246",7,61.45,8.78
3110509,"30501110509",735,34475.58,46.91
3105927,"30302105927",18,190.48,10.58
3152711,"30102152711",5,-1.94,-0.39
1133716,"11703133716",21,899.62,42.84
3103603,"30203103603",210,8181.40,38.96
2112209,"20604112209",122,5931.01,48.61
2112832,"20605112832",107,5712.59,53.39
2112212,"20604112212",462,28693.20,62.11
3110601,"30501110601",26,736.63,28.33
4105734,"40301105734",22,864.84,39.31
6102719,"60105102719",107,2777.68,25.96
1133706,"11703133706",56,445.91,7.96
1143209,"12203143209",2,144.33,72.17
2112624,"20604112624",101,3820.07,37.82
3110512,"30501110512",351,22728.14,64.75
2114202,"20607114202",29,1195.98,41.24
1132501,"11701132501",296,10849.79,36.65
1101137,"10102101137",3,-102.00,-34.00
5104181,"50302104181",464,21496.70,46.33
2112230,"20604112230",33,1509.02,45.73
2146819,"21305146819",1,67.05,67.05
1133741,"11703133741",219,13313.50,60.79
1141923,"12201141923",55,2882.20,52.40
1144611,"12303144611",3,132.63,44.21
2113439,"20605113439",6,332.43,55.41
2112001,"20604112001",80,3906.75,48.83
2112225,"20604112225",279,12508.41,44.83
2112403,"20604112403",13,470.00,36.15
3110523,"30501110523",11,511.40,46.49
2120705,"20902120705",2,-3.63,-1.82
2113101,"20605113101",14,782.69,55.91
6101730,"60103101730",1,55.74,55.74
2112224,"20604112224",89,4422.38,49.69
3111008,"30501111008",200,9037.82,45.19
1133916,"11801133916",3,194.24,64.75
2111810,"20604111810",65,2879.22,44.30
1134515,"11801134515",109,5056.39,46.39
2114109,"20607114109",15,428.93,28.60
1145414,"12401145414",1,-29.60,-29.60
2111709,"20604111709",1,81.68,81.68
2113643,"20606113643",5,50.14,10.03
2112633,"20604112633",1,45.88,45.88
2124801,"21005124801",300,9246.45,30.82
2112623,"20604112623",247,12025.24,48.69
1141564,"12104141564",40,1854.29,46.36
1134121,"11801134121",1,22.30,22.30
2111811,"20604111811",15,400.33,26.69
1130644,"11601130644",10,531.89,53.19
2112330,"20604112330",13,460.05,35.39
2113716,"20606113716",12,298.80,24.90
2113229,"20605113229",64,2866.97,44.80
5114706,"50607114706",4,109.51,27.38
6100516,"60102100516",8,205.72,25.72
4100115,"40101100115",376,17539.00,46.65
6100507,"60102100507",31,1136.89,36.67
6102720,"60105102720",205,8849.73,43.17
2114214,"20607114214",6,127.13,21.19
2111911,"20604111911",357,15831.40,44.35
2146402,"21305146402",6,190.52,31.75
8106801,"80106106801",545,24159.43,44.33
1133728,"11703133728",18,902.57,50.14
1133704,"11703133704",124,6076.16,49.00
1133230,"11703133230",5,295.52,59.10
2113616,"20606113616",20,1028.63,51.43
4100141,"40101100141",119,4915.53,41.31
4100139,"40101100139",24,1119.83,46.66
4100414,"40102100414",3,154.53,51.51
4105726,"40301105726",30,1600.10,53.34
1138308,"12001138308",1,35.44,35.44
3111006,"30501111006",123,5255.36,42.73
2111724,"20604111724",45,2167.31,48.16
1150002,"12602150002",16,677.64,42.35
4108309,"40304108309",28,1013.34,36.19
2113230,"20605113230",13,570.49,43.88
6103111,"60105103111",117,5720.84,48.90
1114811,"10704114811",4,69.70,17.43
4100147,"40101100147",101,5078.86,50.29
8105110,"80105105110",4,15.00,3.75
8111401,"80103111401",58,2767.37,47.71
5107023,"50501107023",1,-22.63,-22.63
5112335,"50602112335",53,2195.24,41.42
5112102,"50602112102",92,3547.20,38.56
4100218,"40101100218",94,4854.49,51.64
4100126,"40101100126",69,3105.93,45.01
4110401,"40403110401",90,3372.87,37.48
2111913,"20604111913",8,367.86,45.98
2112245,"20604112245",613,28752.04,46.90
3110805,"30501110805",25,1083.04,43.32
1133536,"11703133536",2,10.86,5.43
1133341,"11703133341",3,65.99,22.00
2119550,"20804119550",21,915.99,43.62
1133705,"11703133705",76,4071.90,53.58
1101110,"10102101110",10,-340.00,-34.00
8104903,"80105104903",8,305.35,38.17
8105301,"80105105301",34,2021.86,59.47
2112205,"20604112205",76,3564.93,46.91
6103510,"60106103510",2,-122.70,-61.35
2114209,"20607114209",17,781.01,45.94
4102315,"40107102315",15,757.55,50.50
4100119,"40101100119",4,255.20,63.80
3111014,"30501111014",57,3447.31,60.48
4108803,"40304108803",7,399.18,57.03
4100148,"40101100148",51,1764.27,34.59
4105932,"40302105932",5,172.95,34.59
4102202,"40106102202",2,92.38,46.19
4101516,"40104101516",1,-7.72,-7.72
1133401,"11703133401",57,2715.00,47.63
6102501,"60104102501",73,2180.75,29.87
5103103,"50301103103",15,700.54,46.70
5107117,"50501107117",1,52.23,52.23
4100116,"40101100116",17,762.41,44.85
1147312,"12501147312",204,10590.11,51.91
8112405,"80105112405",110,-4289.09,-38.99
2114904,"20701114904",1,51.06,51.06
3111105,"30501111105",9,539.98,60.00
5105911,"50403105911",2,127.64,63.82
2124938,"21005124938",2,62.42,31.21
4101102,"40103101102",1,45.74,45.74
2114218,"20607114218",13,384.45,29.57
5104163,"50302104163",10,358.36,35.84
5116417,"50702116417",1,-55.74,-55.74
5104127,"50302104127",4,93.32,23.33
4108306,"40304108306",21,537.86,25.61
3112811,"30503112811",23,1052.25,45.75
3111202,"30501111202",11,423.21,38.47
2116723,"20703116723",1,92.87,92.87
2112222,"20604112222",14,410.97,29.36
1133703,"11703133703",4,225.45,56.36
2113706,"20606113706",2,13.62,6.81
3100622,"30101100622",1,67.05,67.05
8104022,"80104104022",1,95.24,95.24
2110604,"20601110604",5,43.82,8.76
2117925,"20802117925",2,98.61,49.31
3109615,"30403109615",19,953.19,50.17
3112617,"30503112617",4,190.19,47.55
2112231,"20604112231",96,4977.99,51.85
2144302,"21005144302",2,130.61,65.31
1133752,"11703133752",167,6735.72,40.33
1154201,"10106154201",7,154.76,22.11
2113629,"20606113629",1,-75.00,-75.00
5103201,"50301103201",11,616.18,56.02
5104167,"50302104167",32,1751.91,54.75
3127813,"31002127813",1,36.12,36.12
3128225,"31002128225",16,715.62,44.73
4101926,"40105101926",1,88.34,88.34
3111001,"30501111001",8,500.90,62.61
3113505,"30504113505",89,3779.92,42.47
1133727,"11703133727",22,1155.37,52.52
1133746,"11703133746",145,6420.46,44.28
2112610,"20604112610",49,2325.21,47.45
2112206,"20604112206",47,1727.87,36.76
1134011,"11801134011",28,1479.15,52.83
1131920,"11603131920",5,97.04,19.41
2114223,"20607114223",19,926.76,48.78
1133120,"11703133120",6,258.04,43.01
2113433,"20605113433",11,140.67,12.79
2112612,"20604112612",125,5876.64,47.01
3125642,"30907125642",1,91.84,91.84
3111812,"30502111812",1,45.88,45.88
8105302,"80105105302",127,4949.21,38.97
2126228,"21102126228",1,88.85,88.85
3107631,"30305107631",3,226.21,75.40
5116513,"50702116513",74,3167.50,42.80
5103215,"50301103215",3,167.82,55.94
2113355,"20605113355",6,187.48,31.25
2137454,"21401137454",23,852.44,37.06
2113613,"20606113613",1,77.05,77.05
3139405,"31403139405",15,953.97,63.60
4100111,"40101100111",73,2351.19,32.21
4100319,"40102100319",2,-22.67,-11.34
4101312,"40103101312",2,180.84,90.42
1134034,"11801134034",47,1672.59,35.59
1139629,"12003139629",1,51.06,51.06
2132305,"21205132305",5,221.22,44.24
1133747,"11703133747",53,2943.35,55.53
1133744,"11703133744",135,6796.22,50.34
1133616,"11703133616",8,540.74,67.59
4106505,"40303106505",1,76.39,76.39
4100140,"40101100140",18,907.40,50.41
2110705,"20601110705",8,326.44,40.81
1133301,"11703133301",2,140.84,70.42
5103412,"50301103412",2,150.44,75.22
1139104,"12003139104",2,-6.42,-3.21
1137912,"11904137912",4,66.56,16.64
2116311,"20703116311",1,79.06,79.06
4101007,"40102101007",8,466.97,58.37
5103807,"50302103807",2,-105.34,-52.67
5107124,"50501107124",5,342.38,68.48
5103701,"50302103701",32,1336.36,41.76
5104178,"50302104178",21,781.96,37.24
1138306,"12001138306",1,86.25,86.25
1133714,"11703133714",51,2059.53,40.38
4101335,"40103101335",1,22.63,22.63
2113703,"20606113703",4,101.83,25.46
2113731,"20606113731",6,395.67,65.95
1133452,"11703133452",23,784.01,34.09
1156927,"11802156927",1,34.00,34.00
2112622,"20604112622",164,7444.93,45.40
8105005,"80105105005",1,59.94,59.94
5118118,"50704118118",3,263.07,87.69
2114465,"20607114465",2,54.72,27.36
1134833,"11802134833",26,1092.97,42.04
2113734,"20606113734",4,186.44,46.61
3154225,"31305154225",40,1332.47,33.31
1133719,"11703133719",3,202.50,67.50
8100314,"80101100314",63,3376.66,53.60
8105102,"80105105102",7,222.66,31.81
6100518,"60102100518",50,1292.24,25.84
4105743,"40301105743",9,526.86,58.54
3133305,"31106133305",3,187.88,62.63
4101510,"40104101510",1,45.88,45.88
5104172,"50302104172",71,3449.30,48.58
5103911,"50302103911",3,88.60,29.53
3111017,"30501111017",10,419.09,41.91
3110519,"30501110519",41,2179.92,53.17
1133722,"11703133722",19,701.13,36.90
1134325,"11801134325",12,711.68,59.31
3110608,"30501110608",20,689.99,34.50
5104135,"50302104135",60,1836.46,30.61
5112337,"50602112337",21,1294.73,61.65
5112307,"50602112307",6,214.47,35.75
1153407,"12802153407",3,225.48,75.16
1134008,"11801134008",18,906.58,50.37
1143569,"12301143569",1,93.93,93.93
1148554,"12503148554",22,1341.56,60.98
2115106,"20701115106",2,131.28,65.64
2111239,"20602111239",1,-85.19,-85.19
5103533,"50301103533",1,-40.19,-40.19
4100113,"40101100113",3,125.72,41.91
4100129,"40101100129",68,2646.93,38.93
3132623,"31105132623",1,64.86,64.86
3113222,"30504113222",1,31.82,31.82
1142832,"12203142832",8,460.39,57.55
3110502,"30501110502",10,413.31,41.33
2132410,"21205132410",2,146.99,73.50
8110011,"80109110011",10,44.12,4.41
5109101,"50502109101",8,334.02,41.75
5126008,"50701126008",1,85.19,85.19
3125310,"30907125310",6,243.59,40.60
2112213,"20604112213",44,2111.68,47.99
2135712,"21304135712",8,356.03,44.50
1145825,"12403145825",5,319.57,63.91
1137420,"11903137420",2,-120.74,-60.37
8110210,"80109110210",2,-34.76,-17.38
6106609,"60301106609",3,107.18,35.73
4101918,"40105101918",2,159.88,79.94
4101507,"40104101507",7,495.30,70.76
2116948,"20801116948",47,2047.43,43.56
3111204,"30501111204",4,180.86,45.22
1158610,"12501158610",1,64.67,64.67
1141625,"12104141625",5,376.10,75.22
1132904,"11703132904",37,1459.81,39.45
1132909,"11703132909",14,564.65,40.33
1101113,"10102101113",5,-170.00,-34.00
8112901,"80106112901",7,319.67,45.67
8109809,"80108109809",1,40.19,40.19
3128105,"31002128105",2,133.92,66.96
3111016,"30501111016",15,540.24,36.02
8104409,"80104104409",1,-5.16,-5.16
8108403,"80107108403",1,89.90,89.90
5103207,"50301103207",39,2031.38,52.09
5109211,"50502109211",10,357.81,35.78
5105945,"50403105945",1,45.88,45.88
8112602,"80105112602",2,140.14,70.07
1143511,"12301143511",1,33.56,33.56
1133607,"11703133607",9,677.57,75.29
1133751,"11703133751",83,3797.24,45.75
4109303,"40401109303",52,2969.82,57.11
4101710,"40105101710",4,155.85,38.96
4109931,"40402109931",4,126.38,31.60
6101417,"60103101417",1,44.04,44.04
2113341,"20605113341",1,49.27,49.27
2136534,"21305136534",1,27.32,27.32
2113102,"20605113102",6,201.21,33.54
2114322,"20607114322",23,1635.16,71.09
2113309,"20605113309",80,4090.86,51.14
3133316,"31106133316",5,28.27,5.65
6102715,"60105102715",38,1981.17,52.14
6106909,"60302106909",23,700.93,30.48
6101416,"60103101416",69,2112.65,30.62
1138458,"12001138458",3,230.20,76.73
4111117,"40501111117",8,436.49,54.56
4102408,"40107102408",1,-17.79,-17.79
1133513,"11703133513",24,1211.73,50.49
1103240,"10201103240",1,92.80,92.80
2112243,"20604112243",34,1498.55,44.08
1157239,"11901157239",20,103.20,5.16
1132626,"11702132626",14,539.03,38.50
1134503,"11801134503",5,266.23,53.25
2143634,"20904143634",1,69.01,69.01
2110836,"20601110836",1,-35.97,-35.97
8113005,"80106113005",2,169.13,84.57
8112601,"80105112601",21,974.95,46.43
3125235,"30907125235",8,396.82,49.60
1135057,"11802135057",1,72.97,72.97
1157006,"11802157006",1,27.32,27.32
3110513,"30501110513",43,1639.01,38.12
4100134,"40101100134",23,609.31,26.49
2118905,"20803118905",4,250.74,62.69
1133508,"11703133508",30,1793.87,59.80
3125322,"30907125322",7,441.22,63.03
2113028,"20605113028",12,476.72,39.73
2112218,"20604112218",33,1941.63,58.84
2132229,"21205132229",2,105.82,52.91
5104102,"50302104102",9,334.35,37.15
5104160,"50302104160",48,1389.16,28.94
4109002,"40401109002",9,411.33,45.70
4100136,"40101100136",31,1758.14,56.71
4100210,"40101100210",8,302.81,37.85
2113728,"20606113728",7,201.08,28.73
1133912,"11801133912",22,953.91,43.36
5104113,"50302104113",3,210.26,70.09
3112805,"30503112805",39,1776.94,45.56
3144807,"31701144807",3,-26.57,-8.86
6100206,"60101100206",15,639.83,42.66
6101506,"60103101506",1,55.50,55.50
2112217,"20604112217",14,496.82,35.49
1133018,"11703133018",28,1199.23,42.83
3111112,"30501111112",5,276.97,55.39
5116524,"50702116524",6,299.85,49.98
5117301,"50703117301",6,269.95,44.99
2112216,"20604112216",34,1243.93,36.59
2128935,"21201128935",1,25.00,25.00
2137011,"21401137011",40,-2145.21,-53.63
1138322,"12001138322",1,75.46,75.46
1138641,"12001138641",1,92.74,92.74
5113212,"50604113212",3,154.87,51.62
5112308,"50602112308",4,167.01,41.75
4110802,"40403110802",18,768.71,42.71
1133244,"11703133244",5,284.46,56.89
3109416,"30403109416",3,-13.79,-4.60
3108003,"30306108003",3,167.05,55.68
1134013,"11801134013",1,-72.49,-72.49
1134822,"11802134822",12,581.29,48.44
1143107,"12203143107",1,62.49,62.49
4109222,"40401109222",12,604.07,50.34
4108311,"40304108311",21,1002.13,47.72
2114111,"20607114111",8,525.48,65.69
1133433,"11703133433",10,545.54,54.55
1160603,"12801160603",1,29.24,29.24
1133726,"11703133726",4,227.72,56.93
8114002,"80111114002",9,549.89,61.10
2137151,"21401137151",5,-66.87,-13.37
3110520,"30501110520",8,475.95,59.49
3103704,"30203103704",25,1173.27,46.93
3109510,"30403109510",1,75.06,75.06
3131608,"31103131608",1,72.69,72.69
3125112,"30907125112",66,2546.64,38.59
1133515,"11703133515",12,329.44,27.45
3105807,"30302105807",1,75.79,75.79
2111705,"20604111705",3,192.28,64.09
2113715,"20606113715",2,79.00,39.50
8107002,"80106107002",22,1223.06,55.59
8106401,"80106106401",1,29.60,29.60
2111611,"20603111611",2,131.83,65.92
4108809,"40304108809",3,212.71,70.90
1133720,"11703133720",47,2682.53,57.08
2114304,"20607114304",1,47.67,47.67
3125854,"30907125854",1,36.12,36.12
3108910,"30402108910",105,2430.40,23.15
3113309,"30504113309",1,43.10,43.10
3138663,"31401138663",8,403.27,50.41
2133514,"21301133514",2,158.68,79.34
2113223,"20605113223",3,39.05,13.02
1137539,"11904137539",2,130.80,65.40
3127814,"31002127814",1,39.79,39.79
5116510,"50702116510",37,1539.00,41.59
