RegionId,Name,Observations,Sentiment
20605,"Port Phillip",5250,12.3979
20604,"Melbourne City",35100,9.7906
11703,"Sydney Inner City",43469,9.9489
12003,"Strathfield - Burwood - Ashfield",1085,5.1003
21005,"Tullamarine - Broadmeadows",2627,3.1875
40403,"West Torrens",1620,2.7191
40101,"Adelaide City",11966,9.5077
30504,"Brisbane Inner - West",1255,6.9866
30501,"Brisbane Inner",17003,11.0261
10106,"Young - Yass",703,9.1430
30101,"Capalaba",589,12.0372
31103,"Browns Plains",109,8.1469
30403,"Sherwood - Indooroopilly",1194,-0.6465
11801,"Eastern Suburbs - North",8744,9.7859
31305,"Redcliffe",585,9.8880
30203,"Nundah",1868,5.4874
50302,"Perth City",10690,14.6258
50603,"Canning",1111,6.9493
50502,"Stirling",1122,9.5405
20804,"Stonnington - East",622,9.7472
20606,"Stonnington - West",2640,12.8097
12202,"Pittwater",1847,13.6743
80106,"South Canberra",5290,9.5254
60105,"Hobart Inner",3824,3.9807
60101,"Brighton",1128,-10.7836
80101,"Belconnen",1078,10.0207
80105,"North Canberra",2988,5.1480
80103,"Canberra East",635,0.1112
12001,"Canada Bay",844,6.3612
21202,"Casey - North",418,1.8959
20801,"Bayside",1512,10.9454
21205,"Monash",839,8.1690
21201,"Cardinia",500,-1.3554
20903,"Nillumbik - Kinglake",287,9.8546
50501,"Joondalup",750,15.3029
50602,"Belmont - Victoria Park",1774,8.9756
50301,"Cottesloe - Claremont",1294,10.3476
12002,"Leichhardt",1707,8.1391
12702,"Fairfield",498,7.2655
11802,"Eastern Suburbs - South",3055,10.1806
12403,"Penrith",586,5.2394
12203,"Warringah",1950,8.2312
12104,"North Sydney - Mosman",2605,8.6735
21003,"Moreland - North",199,16.2077
20607,"Yarra",5773,9.6621
20601,"Brunswick - Coburg",2292,6.4193
20802,"Glen Eira",1081,11.3907
20603,"Essendon",494,10.7608
30302,"Holland Park - Yeronga",1484,1.9126
30503,"Brisbane Inner - North",1965,7.5388
30907,"Ormeau - Oxenford",1346,12.3722
31701,"Toowoomba",49,-4.7651
21401,"Frankston",635,-0.0460
21105,"Yarra Ranges",1485,7.8501
