RegionId,Name,Count,SumSentiment,CountExc,SumNeutralExc,Sentiment
12301,"Camden",4,119.68,2,119.68,29.92
50502,"Stirling",13,338.34,3,230.97,26.03
60105,"Hobart Inner",22,348.42,4,157.22,15.84
20607,"Yarra",106,1316.47,17,986.65,12.42
50705,"Rockingham",4,-9.09,0,0.00,-2.27
80107,"Tuggeranong",13,44.04,0,0.00,3.39
80106,"South Canberra",88,933.98,9,525.50,10.61
11702,"Marrickville - Sydenham - Petersham",68,1064.77,20,966.05,15.66
21105,"Yarra Ranges",7,-2.37,0,0.00,-0.34
12202,"Pittwater",34,997.06,12,825.24,29.33
20603,"Essendon",16,134.85,2,147.93,8.43
21005,"Tullamarine - Broadmeadows",41,221.01,2,15.76,5.39
40101,"Adelaide City",178,2924.22,40,2505.99,16.43
11703,"Sydney Inner City",913,17806.70,218,13598.33,19.50
12003,"Strathfield - Burwood - Ashfield",37,499.26,6,371.72,13.49
20604,"Melbourne City",587,8597.31,137,6680.03,14.65
12602,"Ryde - Hunters Hill",33,53.87,3,59.64,1.63
20904,"Whittlesea - Wallan",15,305.26,1,52.67,20.35
20605,"Port Phillip",107,1913.86,33,1468.61,17.89
50703,"Kwinana",2,0.00,0,0.00,0.00
21202,"Casey - North",24,201.32,3,207.51,8.39
21305,"Wyndham",7,316.18,4,291.18,45.17
31001,"Forest Lake - Oxley",2,38.18,0,0.00,19.09
11701,"Botany",55,731.22,9,517.27,13.29
12201,"Manly",27,837.72,9,628.91,31.03
12801,"Cronulla - Miranda - Caringbah",26,113.39,2,32.52,4.36
11801,"Eastern Suburbs - North",176,2819.17,40,2135.03,16.02
31106,"Springwood - Kingston",6,209.17,2,136.93,34.86
31401,"The Hills District",6,275.70,4,248.38,45.95
11903,"Hurstville",10,242.65,4,276.65,24.27
80101,"Belconnen",18,358.52,3,212.24,19.92
50302,"Perth City",177,4033.36,55,2940.22,22.79
30203,"Nundah",28,551.81,8,415.88,19.71
30302,"Holland Park - Yeronga",18,178.04,4,237.24,9.89
12401,"Blue Mountains",4,36.12,0,0.00,9.03
11504,"Rouse Hill - McGraths Hill",2,20.05,1,59.94,10.03
50603,"Canning",22,252.21,2,144.14,11.46
30501,"Brisbane Inner",246,4296.02,54,2985.20,17.46
11802,"Eastern Suburbs - South",68,985.61,15,984.01,14.49
21101,"Knox",7,124.09,1,62.49,17.73
12001,"Canada Bay",13,87.87,0,0.00,6.76
12501,"Auburn",26,634.17,5,336.12,24.39
40304,"Onkaparinga",5,218.35,3,218.35,43.67
40105,"Norwood - Payneham - St Peters",9,233.50,4,233.50,25.94
12104,"North Sydney - Mosman",45,522.89,8,332.76,11.62
50602,"Belmont - Victoria Park",26,553.49,8,554.82,21.29
50403,"Swan",3,-74.19,0,0.00,-24.73
11901,"Bankstown",5,136.32,1,79.06,27.26
21104,"Whitehorse - East",3,-29.60,0,0.00,-9.87
11501,"Baulkham Hills",9,189.94,4,149.75,21.10
40107,"Unley",21,600.30,7,460.99,28.59
12101,"Chatswood - Lane Cove",34,649.93,7,451.67,19.12
50301,"Cottesloe - Claremont",25,771.46,11,720.17,30.86
40203,"Port Adelaide - East",5,160.43,2,140.40,32.09
12404,"Richmond - Windsor",4,49.39,0,0.00,12.35
20601,"Brunswick - Coburg",31,416.60,3,179.22,13.44
40204,"Salisbury",14,10.45,0,0.00,0.75
21205,"Monash",21,383.07,4,257.62,18.24
12503,"Merrylands - Guildford",8,181.30,2,132.04,22.66
12502,"Carlingford",5,73.47,1,57.19,14.69
80103,"Canberra East",6,-42.15,0,0.00,-7.03
30306,"Sunnybank",3,42.15,0,0.00,14.05
20801,"Bayside",29,653.31,8,556.25,22.53
11601,"Blacktown",20,169.91,2,162.36,8.50
50607,"South Perth",9,154.52,1,55.74,17.17
11904,"Kogarah - Rockdale",9,158.81,2,131.49,17.65
30202,"Chermside",17,254.17,4,120.10,14.95
40401,"Charles Sturt",11,50.43,1,52.55,4.58
60102,"Hobart - North East",19,333.33,8,301.84,17.54
50601,"Armadale",6,48.24,0,0.00,8.04
21402,"Mornington Peninsula",19,299.87,4,301.77,15.78
30502,"Brisbane Inner - East",4,62.40,1,62.40,15.60
30201,"Bald Hills - Everton Park",3,51.06,1,51.06,17.02
50702,"Fremantle",17,349.58,5,309.39,20.56
40103,"Burnside",10,324.15,3,197.14,32.42
80104,"Gungahlin",9,112.45,0,0.00,12.49
12203,"Warringah",53,768.32,8,398.81,14.50
40403,"West Torrens",25,440.86,4,277.48,17.63
80108,"Weston Creek",2,0.00,0,0.00,0.00
