RegionId,Name,Observations,Sum,Sentiment
401011001,"Adelaide",9387,344785.30,36.73
301011004,"Capalaba",163,7159.25,43.92
207011153,"Kew",150,6299.79,42.00
503021042,"Subiaco - Shenton Park",655,33737.96,51.51
506031128,"Parkwood - Ferndale - Lynwood",465,12500.76,26.88
503021041,"Perth City",11942,549442.56,46.01
505021096,"Wembley Downs - Churchlands - Woodlands",154,7002.02,45.47
117031337,"Sydney - Haymarket - The Rocks",30500,1382028.07,45.31
505011075,"Hillarys",151,6551.31,43.39
507011152,"Coogee",46,2163.87,47.04
117031334,"Pyrmont - Ultimo",2015,91530.74,45.42
117031336,"Surry Hills",1752,76192.33,43.49
117011325,"Sydney Airport",1387,55150.67,39.76
118011343,"Double Bay - Bellevue Hill",4273,39279.67,9.19
302021031,"Kedron - Gordon Park",149,3057.62,20.52
301021008,"Ormiston",31,1546.41,49.88
309071253,"Hope Island",549,23796.42,43.35
314011385,"Eatons Hill",64,3711.42,57.99
206041122,"Melbourne",20553,911334.16,44.34
206011108,"Coburg",263,9361.69,35.60
102011032,"Gosford - Springfield",391,21092.97,53.95
121011401,"St Leonards - Naremburn",564,24296.53,43.08
305011105,"Brisbane City",10664,399439.17,37.46
302031040,"Nundah",140,3459.71,24.71
305011106,"Fortitude Valley",1579,66340.29,42.01
305011110,"South Brisbane",2659,126602.64,47.61
209041437,"Wollert",147,12265.92,83.44
207021160,"Templestowe Lower",63,1579.16,25.07
206011105,"Brunswick",1256,50556.03,40.25
206041126,"Southbank",5578,249595.11,44.75
213011336,"Sunshine",141,6164.40,43.72
207011150,"Glen Iris - East",110,5571.49,50.65
212051319,"Ashwood - Chadstone",1079,-14292.53,-13.25
213011335,"St Albans - South",102,4070.19,39.90
213051365,"Tarneit",58,2467.21,42.54
211011254,"Knoxfield - Scoresby",638,26802.60,42.01
211031451,"Croydon - West",112,5858.45,52.31
206051132,"South Melbourne",1527,71288.06,46.69
209041221,"Mill Park - South",62,3172.80,51.17
206031114,"Essendon - Aberfeldie",215,7783.93,36.20
206041123,"North Melbourne",699,30210.20,43.22
206041119,"East Melbourne",3220,140101.87,43.51
211041271,"Nunawading",41,1344.01,32.78
206071144,"Richmond (Vic.)",1829,83761.00,45.80
207021157,"Doncaster",134,4498.38,33.57
211011251,"Bayswater",133,6685.27,50.27
208031183,"Aspendale Gardens - Waterways",20,905.31,45.27
507021165,"Fremantle",2072,89231.87,43.07
506031127,"Cannington - Queens Park",144,6536.69,45.39
506061142,"Byford",156,5292.62,33.93
505031100,"Carramar",209,4597.34,22.00
506051138,"Forrestfield - Wattle Grove",1174,-7812.75,-6.65
206051130,"Port Melbourne",479,21178.86,44.21
207011146,"Ashburton (Vic.)",24,1145.74,47.74
507011150,"Bibra Industrial",126,5176.62,41.08
506041133,"Canning Vale - East",49,2121.20,43.29
119011571,"Bankstown - North",132,6385.07,48.37
118011339,"Bondi - Tamarama - Bronte",2125,91676.89,43.14
118011345,"Paddington - Moore Park",1775,80709.43,45.47
123021441,"Leumeah - Minto Heights",39,1423.25,36.49
125011473,"Homebush Bay - Silverwater",1682,78509.72,46.68
117021327,"Petersham - Stanmore",342,14784.54,43.23
303051076,"Rocklea - Acacia Ridge",138,5672.43,41.10
121021403,"Asquith - Mount Colah",118,838.06,7.10
211011255,"Lysterfield",14,496.05,35.43
503021038,"Mount Hawthorn - Leederville",359,15515.96,43.22
206021111,"Northcote",680,24234.59,35.64
210031438,"Glenroy",75,3303.07,44.04
505021094,"Trigg - North Beach - Watermans Bay",160,7281.99,45.51
208011172,"Hampton",153,6884.33,45.00
211051278,"Lilydale - Coldstream",398,17444.31,43.83
209011198,"Heidelberg - Rosanna",395,13782.78,34.89
211051282,"Mount Dandenong - Olinda",319,14750.78,46.24
206041118,"Docklands",1874,76935.39,41.05
206071139,"Abbotsford",410,18677.47,45.55
213021346,"Williamstown",393,18996.39,48.34
206061136,"Prahran - Windsor",1229,50757.71,41.30
506021123,"Victoria Park - Lathlain - Burswood",1089,49099.37,45.09
506031124,"Bentley - Wilson - St James",285,10841.26,38.04
303021059,"Yeronga",193,7724.05,40.02
313051542,"Scarborough - Newport - Moreton Island",414,20845.84,50.35
301021527,"Redland Islands",390,16925.09,43.40
304021089,"Fig Tree Pocket",438,8180.09,18.68
305041137,"Toowong",163,6780.70,41.60
313051379,"Redcliffe",224,10014.19,44.71
125011584,"Auburn - South",784,-9316.72,-11.88
305011107,"Highgate Hill",67,3165.00,47.24
601021004,"Bellerive - Rosny",215,9789.61,45.53
302031037,"Eagle Farm - Pinkenba",232,11454.71,49.37
304031094,"Indooroopilly",283,12618.34,44.59
507021166,"Fremantle - South",202,9202.40,45.56
504031062,"Lockridge - Kiara",224,11151.96,49.79
117031333,"Potts Point - Woolloomooloo",2810,59832.93,21.29
120021387,"Balmain",488,16859.67,34.55
208031186,"Chelsea - Bonbeach",123,5485.22,44.60
208041195,"Malvern East",469,21203.88,45.21
206021112,"Thornbury",374,16132.22,43.13
212041317,"Springvale",203,7386.11,36.38
209011196,"Bundoora - East",149,7063.51,47.41
206021110,"Alphington - Fairfield",214,7783.09,36.37
206041121,"Kensington (Vic.)",4384,-41106.36,-9.38
118021350,"Malabar - La Perouse - Chifley",397,17702.44,44.59
302031036,"Brisbane Airport",653,23617.22,36.17
314031394,"Strathpine - Brendale",189,8949.31,47.35
305031123,"Grange",74,2083.42,28.15
209021207,"Reservoir - East",108,3039.93,28.15
214011372,"Frankston North",93,3808.49,40.95
209041436,"South Morang (South)",48,2486.86,51.81
206051133,"St Kilda",1929,88565.68,45.91
206051128,"Albert Park",1001,48211.57,48.16
207021425,"Doncaster East (South)",34,1689.62,49.69
