Yloc,Xloc,Count
-33.86,151.211,16717
-31.9522,115.859,11040
-37.8167,144.967,10768
-27.4678,153.028,10117
-37.79305556,144.92194444,8438
-42.882541,147.330281,6877
-35.401389,148.981667,6492
-33.86357381,151.23779297,5499
-33.81345207,151.21416016,5186
-37.8143,144.963,4751
-33.8671,151.207,4238
-34.9333,138.6,4039
-33.85678499,151.21528387,2951
-33.8674769,151.2069776,2883
-33.8688197,151.2092955,2821
-31.98,116.01,2604
-34.92,138.6,2542
-35.28,149.15,2538
-37.82055556,144.96138889,2485
-33.86699475,151.22680664,2411
-35.3081,149.124,2402
-27.47,153.02,2302
-33.88891,151.26064,2159
-37.8136276,144.9630576,1919
-37.87,145.1,1913
-37.8142155,144.9632307,1749
-33.86,151.02,1700
-37.8156,144.9661,1585
-33.8586595,151.2066667,1495
-33.87429942,151.19981289,1492
-37.81984,144.98346154,1377
-33.8607219,151.21003527,1306
-37.81456444,144.96633768,1278
-33.79721546,151.28742435,1277
-35.30805556,149.12444444,1266
-27.4676,153.028,1208
-37.814107,144.96328,1061
-33.97639232,151.20483398,1018
-33.85997222,151.21111111,965
-34.9258,138.6,941
-31.9554,115.859,930
-33.8674869,151.2069902,918
-35.282,149.128684,868
-37.894,145.234,844
-37.801,144.979,843
-33.7524089,150.8469562,834
-34.91595452,138.59659246,804
-33.79242,151.11954,801
-42.9167,147.333,798
-37.67125294,144.83714104,793
-33.87328393,151.19906187,772
-34.7334592,138.65392677,760
-37.86295,145.02803,677
-33.84703326,151.06335715,670
-37.8158,144.998,660
-37.86530558,144.97327209,660
-33.93488622,151.17241144,656
-33.9036,151.268,654
-37.7032572,144.5723113,652
-37.8226,144.96934,637
-27.47755681,153.02233675,606
-37.82526,144.95157,606
-31.99630294,115.54157524,605
-33.84439978,151.06218338,600
-37.8333,144.983,598
-33.91973,151.24286,583
-33.86074034,151.21069483,574
-34.80854981,138.61666441,565
-34.05,151.15,551
-37.8167,144.947,547
-33.76882005,150.90768814,547
-32.05,115.767,541
-27.4697707,153.0251235,539
-33.8925,151.278611,533
-37.829,144.957,530
-37.81641988,144.96909038,519
-35.282,149.129,517
-33.8077,151.089,516
-37.817,144.946,509
-34.92915781,138.59955132,507
-37.82146636,144.97891767,498
-33.67814,151.30321,483
-37.80258,144.98699,474
-33.84358147,151.24152144,474
-33.88888,151.27759,473
-37.81753,144.96715,457
-33.89001478,151.27292753,456
-33.86352353,151.21689957,455
-34.67642,138.67837,452
-33.89171101,151.22486166,448
-37.82253494,144.96905379,443
-37.81788183,144.96841506,429
-37.8673,144.978,424
-33.86011122,151.21019063,422
-35.15966,149.10073,420
-37.80734273,144.9580121,418
-33.85904157,151.20858685,417
-31.99583,115.7506,414
-31.95959439,115.84334108,411
-37.82489353,144.9839688,407
-31.9472098,115.8215662,403
-37.8486571,144.99608561,398
-31.94393247,115.96889019,397
-33.79682736,151.17997757,392
-37.77397668,144.95776349,390
-33.94647807,151.16845855,390
-31.9505269,115.8604572,388
-37.835,144.96,386
-33.87742,151.24304,385
-37.81006,144.9643199,384
-37.81646729,144.94785431,380
-33.89841,151.26306,379
-33.87306211,151.21081593,378
-27.570278,153.008056,377
-37.9167,145,376
-31.95691404,115.85737467,376
-27.46493728,153.00966577,374
-33.89365907,151.19203451,371
-42.880195,147.328429,370
-37.80172604,144.98371832,365
-33.75,150.7,361
-34.92015,138.49397,359
-33.87848106,151.24209491,354
-33.920692,151.2572694,354
-31.94836,115.85202,353
-33.89875863,151.17436307,353
-37.7667,144.967,348
-31.83372327,115.9506971,346
-37.7667,145,345
-27.8601123,153.3603615,341
-33.93761004,151.16623861,338
-33.8227402,151.1942171,336
-33.87111111,151.21333333,334
-33.8598583,151.20940453,333
-33.87177,151.20668,333
-27.38975406,153.11684132,331
-33.8688353,151.21733619,325
-27.53418461,152.96866744,322
-37.8217918,144.97876328,321
-42.81229469,147.2612789,319
-37.8487139,144.96899843,314
-34.9438,138.6216,310
-27.48588785,153.03783797,310
-33.84808219,151.21015809,307
-33.8691,151.19536,306
-35.08554898,149.11442128,303
-27.47798767,153.0225745,301
-33.84654729,151.06704788,301
-33.91068573,151.19438449,299
-35.308,149.125,297
-33.89334,151.20461,297
-33.8825,151.20666667,297
-37.8139,144.96451944,296
-37.798389,144.9694441,291
-33.89622037,151.2331896,290
-33.8,151.283,289
-42.92368517,147.41342148,288
-37.82129834,144.96861306,286
-27.47736944,153.0185386,285
-37.80477536,144.97178442,284
-37.82326452,144.95813343,284
-35.297754,149.127777,283
-37.86507772,144.973629,281
-27.49477707,153.01352262,277
-35.29333333,149.11388889,275
-34.91146,138.59265,274
-37.82965733,144.97290729,273
-27.48077,153.01955,272
-27.4715195,153.0173645,271
-42.854564,147.31332,271
-27.41476,153.0138,267
-37.8132,144.963,265
-27.47467524,153.01948786,262
-35.3075,149.124417,261
-34.92913,138.5987,258
-33.749,151.2331,258
-33.63723446,151.32916071,258
-37.73573425,145.07321413,257
-31.95299645,115.85879769,255
-33.9167,151.167,255
-34.9061,138.594,253
-34.982,138.516,252
-34.9306,138.6206,252
-37.91820553,144.9869589,252
-37.81224,144.96165,248
-37.83881,144.99147,248
-34.92035239,138.63636732,244
-34.90708,138.57569,244
-27.5833,153.3,243
-38.01686,145.3100399,243
-33.86663339,151.20317127,242
-33.8813,151.211,239
-33.89,151.131,239
-27.86345176,153.31578705,238
-37.73186,145.01465,238
-37.8,144.967,238
-31.95307256,115.89241505,238
-37.8175145,144.9689923,236
-27.4709,153.0235,235
-33.7647,151.27355,234
-31.95667554,115.85269764,231
-33.6,151.317,231
-37.8218648,144.97854785,228
-37.7167,145,227
-33.87204,151.2164,227
-33.82416,151.24082,227
-33.86856415,151.21956688,227
-33.76582,150.88424,227
-37.8333,144.933,225
-33.88849,151.18601,224
-37.7833,145.3,223
-33.88916667,151.22527778,222
-33.8757499,151.22098,222
-33.87043836,151.20872923,219
-33.8932496,151.24692419,219
-34.93839829,138.53732762,217
-34.61966374,138.74006435,217
-33.93386032,151.17798041,216
-27.479,153.03,215
-27.46488745,153.0095901,215
-33.88410698,151.21043953,215
-33.8167,151,215
-27.80064765,153.24913322,214
-35.30040742,149.13634658,214
-33.95,151.233,214
-37.8609841,145.28690993,213
-31.95964486,115.89372396,213
-33.89875,151.26345,213
-37.85098432,144.99328852,212
-37.81660241,144.94787547,212
-33.86,151.2111,212
-27.55081986,152.95739225,211
-37.6196399,145.09948,210
-33.80896,151.00561,210
-37.846,144.97,209
-27.90025,153.26917,208
-31.94094627,115.96790314,207
-33.9005,151.27053,207
-34.93800686,138.55364942,204
-31.9553,115.912,204
-27.64526738,153.2497218,202
-37.79740237,144.8915224,202
-37.81065033,144.96304292,200
-33.8700236,151.2016709,199
-33.75379065,151.29704833,199
-27.4722,153.027,198
-37.8992,144.74,198
-34.92873559,138.59972298,196
-34.93859372,138.53784794,196
-37.82133,144.9647,196
-37.803,144.95,196
-33.85,151.283,196
-33.85744429,151.20112181,196
-33.98876846,151.2319047,195
-33.897,151.179,195
-27.5333,153.267,194
-32.22730024,115.98728827,194
-33.87006,151.19032,194
-34.92168138,138.6125445,193
-27.54421,153.09019,193
-33.8588,151.017,193
-37.88633259,145.08266161,191
-34.92288346,138.60236855,190
-37.79027778,144.9125,190
-37.81650822,144.96901232,190
-33.8667,151.183,190
-33.90879979,151.18405674,190
-33.87576,151.20678,189
-34.92936,138.6068,187
-27.47853611,153.03403611,186
-27.6732,153.18,186
-27.43299488,153.54385904,186
-35.29709,149.13432,186
-33.94868,151.25723,186
-34.92215,138.58733,185
-37.75,145.017,185
-37.8196907,145.0114288,185
-37.79882637,144.96128051,184
-31.89189189,115.95413805,184
-33.9167,151.267,184
-33.7254486,151.2940826,184
-34.8444,138.58617,183
-27.44392,153.07989,183
-33.88385795,151.27819025,183
-34.9246399,138.60221,182
-33.8235,151.2512,182
-33.87289595,151.19203177,182
-33.88235164,151.21899605,181
-37.80376354,144.9717317,180
-32.09881793,115.8118963,180
-33.85946667,151.22220278,179
-34.916,138.5,178
-37.8167087,144.9694307,176
-33.86361168,151.20162606,176
-27.4747,153.03,175
-38.1333,145.117,175
-37.84314579,144.93874171,175
-31.934,115.764,175
-27.53421129,152.96845025,174
-37.86774557,144.97676397,174
-37.8233,144.974,174
-33.89432846,151.22415432,173
-33.86488,151.16735,172
-34.0433083,151.1218872,172
-27.45082,153.0389999,171
-37.81998314,144.94336767,171
-37.8333,145.033,170
-33.88389201,151.14761038,170
-34.9284989,138.6007456,168
-37.81807,144.96681,168
-37.81036842,144.96312763,168
-33.93652406,151.23779297,168
-37.8166325,145.22320747,166
-33.84551977,151.06894765,166
-33.93714314,151.16577807,165
-31.94658,115.86058,163
-33.7254,151.28659,163
-34.65,138.833,162
-37.78410413,144.98332394,162
-31.95978011,115.84316573,162
-37.5833,145.033,161
-33.8333,150.983,161
-27.45808832,153.03454294,160
-27.45234,153.03155,160
-37.815145,144.966777,160
-37.81209,144.9637,159
-37.67144524,144.84858361,159
-37.8667,144.9,159
-33.94259672,151.23928428,159
-33.8833,151.225,158
-33.94926,151.1392,158
-27.0667,153.217,157
-33.88555807,151.16676807,157
-34.8190384,138.6368866,156
-37.7833,144.917,156
-37.83043014,144.9781044,156
-37.82291387,144.98158848,156
-33.86277939,151.1728074,156
-34.94527609,138.58751821,155
-37.8833,145,155
-27.4683,153.024,154
-35.27740331,149.12143841,154
-37.8384799,144.98666,154
-27.4413,153.09246,153
-37.75454891,144.86941547,153
-37.695,145.064,152
-27.0833,152.95,151
-27.63656618,153.12779069,151
-27.46964988,153.02534792,150
-33.8346909,151.2091365,150
-33.9,151.267,150
-33.8798,151.185,150
-33.43178,151.34223,150
-27.4717,153.026,149
-38.01784835,145.30363174,149
-33.84413227,151.06117718,149
