Yloc,Xloc,Count
-37.8156,144.9661,185
-33.86,151.211,179
-27.4678,153.028,87
-31.9522,115.859,68
-34.9333,138.6,58
-33.86751,151.20797,55
-33.8674769,151.2069776,48
-35.3081,149.124,42
-33.88888,151.27759,22
-33.8077,151.089,21
-33.6781421,151.303387,18
-33.89841,151.26306,16
-27.4697707,153.0251235,16
-37.80154,144.95436,12
-37.73186,145.01465,12
-33.897,151.179,12
-33.86011122,151.21019063,12
-34.9061,138.594,12
-37.8230729,144.98130528,11
-31.95447445,115.86261034,11
-33.937173,151.166848,11
-35.3717,149.075,11
-27.47467524,153.01948786,11
-35.30805556,149.12444444,11
-37.829,144.957,11
-37.67019934,144.84844918,11
-33.88891,151.26064,11
-37.81984,144.98346154,10
-33.89171101,151.22486166,10
-33.79721546,151.28742435,10
-27.46488745,153.0095901,10
-33.88849,151.18601,10
-33.87429942,151.19981289,10
-33.86553882,151.20265254,10
-33.85678499,151.21528387,10
-33.87848106,151.24209491,10
-42.92368517,147.41342148,9
-37.672661,144.851212,9
-33.84439978,151.06218338,9
-37.8833,145.133,9
-33.93488622,151.17241144,9
-37.801,144.979,9
-34.91146,138.59265,9
-34.9601,138.62632,8
-37.8142155,144.9632307,8
-33.89666865,151.18045793,8
-37.803,144.95,8
-33.88410698,151.21043953,8
-37.8877,145.057,8
-33.8691,151.19536,8
-37.86507772,144.973629,8
-33.90394432,151.15839549,7
-32.05,115.767,7
-33.89,151.131,7
-37.6196399,145.09948,7
-27.47024799,153.01731799,7
-33.89186435,151.20549755,7
-31.6628,115.79,7
-37.799055,144.9194115,7
-33.87576,151.20678,7
-31.95956587,115.85901961,7
-33.90879979,151.18405674,7
-34.91973393,138.60472353,7
-37.80172604,144.98371832,7
-31.93086,115.85872,7
-37.84135226,144.92676249,7
-33.8,151.283,7
-33.8572662,151.2016751,7
-33.95623,151.23004,7
-33.920692,151.2572694,7
-33.87850583,151.19968662,6
-37.80477536,144.97178442,6
-34.92566566,138.59817266,6
-33.87265257,151.20726054,6
-37.62395,144.94866,6
-42.880195,147.328429,6
-33.89883892,151.17427916,6
-37.8333,144.983,6
-33.89365907,151.19203451,6
-33.870307,151.190757,6
-34.9306,138.6206,6
-33.89630695,151.22469158,6
-37.79818744,144.98843908,6
-27.5136,153.247,6
-33.87554,151.22277,6
-33.86,151.2111,6
-27.3608,153.03286,6
-33.89105782,151.19153077,6
-32.12816958,116.01514366,6
-37.8136276,144.9630576,6
-31.94245,115.86927,6
-27.48077,153.01955,6
-37.8132,144.963,6
-34.91595452,138.59659246,6
-31.9505269,115.8604572,6
-37.8174788,144.96967905,6
-37.8673,144.978,6
-33.8932496,151.24692419,6
-27.4709,153.0235,6
-33.856007,151.209173,6
-31.9771,115.7805,6
-31.98553,115.77796,6
-34.92936,138.6068,5
-27.46916,153.02704,5
-33.8688197,151.2092955,5
-34.9438,138.6216,5
-33.89875,151.26345,5
-35.31092,149.14661,5
-37.82055556,144.96138889,5
-31.95216,115.85083,5
-37.67125294,144.83714104,5
-33.9162899,151.19991,5
-37.854,144.988,5
-37.7204,145.07,5
-33.85934,151.2132,5
-27.28037089,152.94252847,5
-37.79901089,144.96150256,5
-37.7667,144.967,5
-38.10481149,145.15661506,5
-27.47798767,153.0225745,5
-27.38519779,153.12044588,5
-33.87198,151.19909,5
-37.81221579,144.96801954,5
-33.87283,151.22293,5
-33.81182926,150.87080458,5
-27.41476,153.0138,5
-27.4565792,153.0369263,5
-37.813864,144.964468,5
-33.86739866,151.212931,5
-33.8707357,151.2105613,5
-37.81664576,144.96940403,5
-33.762558,150.901393,5
-35.31264,149.14374,4
-34.94557857,138.58798027,4
-37.79939,144.98276,4
-33.727,151.286,4
-37.8822,144.978,4
-27.5833,153.3,4
-37.77397668,144.95776349,4
-33.91693132,151.22941403,4
-31.94094627,115.96790314,4
-33.8732582,151.2069511,4
-37.81550501,144.96766306,4
-33.63723446,151.32916071,4
-27.46374499,153.01354897,4
-37.8474,144.969,4
-33.88389201,151.14761038,4
-33.87312089,151.20630728,4
-33.87848,151.21465,4
-31.94784,115.83267,4
-37.81660241,144.94787547,4
-37.82477538,144.95720401,4
-33.9118,151.165,4
-33.87071,151.19482,4
-27.5333,152.983,4
-33.87328393,151.19906187,4
-33.86277939,151.1728074,4
-37.82526,144.95157,4
-33.8167,151,4
-37.8099,145.006,4
-31.94836,115.85202,4
-37.921,145.067,4
-33.87763085,151.17703557,4
-33.87717587,151.24317288,4
-33.89,151.147,4
-33.899,151.20861,4
-37.81199,144.96521,4
-33.86682549,151.19604707,4
-34.8444,138.58617,4
-33.8688353,151.21733619,4
-33.90186,151.18138,4
-37.8215,144.96852,4
-35.30756635,149.19052983,4
-33.84633042,151.17288652,4
-35.15966,149.10073,4
-35.2403199,149.05909,4
-33.88648,151.17397,4
-33.8925,151.202,4
-33.98876846,151.2319047,4
-33.9121,151.154,4
-37.8104711,144.9662916,4
-33.94146716,151.18642096,4
-33.9167,151.167,4
-37.89811252,145.08950615,4
-33.867611,151.208432,4
-33.94259672,151.23928428,4
-33.93356372,151.21228934,4
-34.93860981,138.5376893,4
-27.5352,153.262,4
-27.49713521,153.01442151,3
-34.94524915,138.58695607,3
-27.38975406,153.11684132,3
-33.87798,151.21321,3
-42.8336792,147.4594421,3
-37.8167,145.133,3
-37.8464584,145.0466003,3
-27.45187,153.04402,3
-33.91068,151.16528,3
-33.8793831,151.2063904,3
-33.86333294,151.2168233,3
-37.83957,144.99483,3
-34.90708,138.57569,3
-33.86763597,151.2146054,3
-37.80256568,145.00345348,3
-37.72401835,144.99776048,3
-31.97753764,115.78100024,3
-27.48652,153.02956,3
-33.7667,150.917,3
-33.7254,151.28659,3
-33.80926,151.02364,3
-33.8573946,151.1035209,3
-27.49637122,153.01419931,3
-32.09881793,115.8118963,3
-33.9036,151.268,3
-33.82136,151.20871,3
-33.8825,151.20666667,3
-33.87995,151.20344,3
-37.65774,145.0766,3
-31.89346,115.75689,3
-33.87771,151.20778,3
-27.5,152.933,3
-34.05189496,151.15571737,3
-37.77967,144.98719,3
-27.2337438,153.05104427,3
-34.80854981,138.61666441,3
-37.82133,144.9647,3
-33.8667,151.25,3
-33.9005,151.27053,3
-37.83001,144.95864,3
-33.7252422,151.2865601,3
-33.92601354,151.05295784,3
-38.377,144.838,3
-37.7993499,144.95606,3
-34.9284989,138.6007456,3
-33.87191,151.2068651,3
-27.44274301,153.02800772,3
-27.40209506,153.06033839,3
-33.89689225,151.25935245,3
-33.88486291,151.22618917,3
-37.79762791,144.97871876,3
-33.8914199,151.25082,3
-33.90294736,151.21490295,3
-37.8167,144.947,3
-37.75,144.967,3
-35.30040742,149.13634658,3
-33.815,151.17028,3
-34.05505,150.82133,3
-33.9017,151.2,3
-33.8743896,151.214035,3
-37.80469,144.99069,3
-37.81456444,144.96633768,3
-33.71952,150.84265,3
-33.7506,151.275,3
-33.7253308,151.2867112,3
-33.88380378,151.22041395,3
-33.89799814,151.16266551,3
-27.62004513,153.12563896,3
-37.8427665,144.93692743,3
-31.98337,115.77955,3
-33.89497017,151.22418812,3
-27.455,153.035,3
-33.85322515,151.06942516,3
-27.4652,153.008,3
-42.83362829,147.27594623,3
-37.8032951,144.977417,3
-33.95,151.233,3
-35.2439,149.088,3
-33.84191196,150.98921126,3
-31.95964486,115.89372396,3
-27.4692,153.028,3
-37.75,145.017,3
-34.764,138.608,3
-33.949859,151.052469,3
-34.03299962,151.07057234,3
-37.8391233,144.9257824,3
-33.8886,151.126,3
-35.077,138.502,3
-34.95523,138.60825,3
-34.9386126,138.53786347,3
-37.88706025,145.08140224,3
-33.88491,151.20185,3
-33.7875213,151.17920677,3
-27.49788926,153.0179043,3
-34.78104681,138.64093781,3
-37.9167,145.2,3
-33.82379942,151.19420809,3
-37.85884,144.98252,3
-33.84487758,151.00282119,3
-27.36762258,153.04409979,3
-37.86751,144.97902,3
-38.0027,145.25,3
-33.8667,151.183,3
-34.90937413,138.55152303,3
-27.4722,153.027,3
-33.78509444,151.12839167,3
-37.8158,144.998,3
-34.9303013,138.62045646,3
-33.87642,151.18945,3
-37.8117256,144.9674225,3
-27.73000361,153.20921509,3
-32.1167,115.767,3
-34.05,151.15,3
-27.44443292,153.04509326,3
-33.91619,151.19174,3
-33.92953,150.93908,3
-37.81444472,144.96362329,3
-33.70261366,151.28920626,2
-33.82080623,151.18554328,2
-33.8889,151.1249,2
-34.9137,138.629,2
-33.85827,151.20246,2
-37.82055556,144.96888889,2
-35.27847908,149.13320237,2
-27.6833,153.133,2
-34.93107,138.61265,2
-31.95691404,115.85737467,2
-37.81034802,144.96311555,2
-27.6628097,153.1879409,2
-34.94828976,138.56538367,2
-33.72947876,151.26360359,2
-27.4413,153.09246,2
-34.933,138.62,2
-37.81214,144.95967,2
-37.812253,144.9721093,2
-33.89964,151.17059,2
-27.49477707,153.01352262,2
-33.8992805,151.1826019,2
-34.9325,138.578611,2
-37.8167,144.9,2
-37.84805,144.99197,2
-37.86223191,145.03352082,2
-33.91357,151.19628,2
-27.3838,153.032,2
-35.1347,138.478,2
-33.8744299,151.20458,2
-33.6736086,151.258585,2
-33.83315062,151.15193514,2
-33.87710096,151.21212654,2
-33.86276,151.16778,2
-37.75127,144.919562,2
-33.8599962,151.2054033,2
-33.89745485,151.21348043,2
-27.46033,153.023,2
-32.01411856,115.89363936,2
-35.01381838,138.52104479,2
-31.94119505,115.97437814,2
-35.2167,149.083,2
-27.4632885,153.01880216,2
-37.77117,144.96161,2
-33.91859479,151.16701399,2
-33.90172273,151.18445266,2
-33.85744429,151.20112181,2
-37.8128,144.962,2
-33.88254226,151.20174153,2
-33.84468579,151.06774571,2
-33.86412394,151.20809823,2
-34.03725481,151.10178093,2
-33.8833,151.225,2
-37.8222885,144.9598119,2
-42.8722,147.37274,2
-33.850278,151.064167,2
-27.5012266,153.03762277,2
-37.80061,144.98016,2
-38.34569,144.72736,2
-37.80310817,145.22634493,2
-33.8945,151.19966,2
-33.91889961,151.23939102,2
-33.992112,151.231179,2
-27.3557376,153.01277225,2
-33.8235,151.2512,2
-35.31561,149.14527,2
-33.73265584,151.1294961,2
-37.8135,144.96999,2
-33.91264461,151.15259456,2
-35.29333333,149.11388889,2
-33.86689,151.2096,2
-34.03867642,151.14086857,2
-33.87757808,151.20416396,2
-35.28462908,149.1344134,2
-33.61459,150.81334,2
-37.65299349,145.0199675,2
-37.80376354,144.9717317,2
-27.4713688,153.017395,2
-33.87880714,151.20410104,2
-33.9198,151.19459,2
-37.82196921,145.03558029,2
-37.81127,144.95647,2
-31.94707221,115.86042434,2
-35.18994,138.4944,2
-37.93698028,145.01682593,2
-32.00516463,115.89408875,2
-32.0003,115.892,2
-31.95667554,115.85269764,2
-37.82914133,144.98878241,2
-31.976,115.865,2
-33.91748067,151.23847665,2
-33.89317,151.24884,2
-33.84345686,151.24152207,2
-27.4604927,153.00998723,2
-32.0075,115.939,2
-33.82617,151.20117,2
-37.82566,145.04979,2
-33.86361168,151.20162606,2
-37.81541,144.9676,2
-37.67133601,144.84794752,2
-37.8192,144.9682,2
-33.93425577,151.17907663,2
-37.8145294,144.95835548,2
-33.89001478,151.27292753,2
-33.8005496,151.2979212,2
-37.81725,144.96122,2
-37.8183,144.973,2
-33.91376,151.26668,2
-37.9167,145,2
-27.44392,153.07989,2
-42.9,147.483,2
-33.87192,151.22723,2
-33.88814,151.19905,2
-33.85946667,151.22220278,2
-37.79740237,144.8915224,2
-34.9188951,138.5752393,2
-33.71643,151.30058,2
-27.46956,153.0259,2
-33.8846307,151.2142976,2
-37.80736678,144.95915525,2
-33.8894,151.124,2
-37.783889,144.961667,2
-31.954,116.049,2
-33.81216,151.0357,2
-37.81962431,144.98334289,2
-35.4533,149.1081,2
-33.93475964,151.17967776,2
-37.89278586,145.09743105,2
-33.81093,151.19681,2
-32.01974324,115.93918061,2
-35.21173015,149.13655533,2
-37.87478,145.04587,2
-33.86005,151.209073,2
-34.93072,138.59719,2
-35.2498443,149.10242037,2
-33.92026,151.25606,2
-33.7400266,151.2761339,2
-37.90209,145.05882,2
-37.84953,144.99232,2
-33.8667275,151.20165825,2
-33.6733,150.619,2
-33.90864,151.1608,2
-35.23257185,149.03830552,2
-33.80381,150.86912327,2
-38.33936265,144.97905564,2
-37.80604,144.89211,2
-34.91341,138.67516,2
-34.90789,138.60629,2
-33.8941803,151.1997986,2
-37.79925,145.27966,2
-33.79682736,151.17997757,2
-37.81031,144.97003,2
-31.92938,115.85218,2
-34.82429906,138.49647482,2
-37.81753,144.96715,2
-33.8,151.267,2
-31.9522896,115.8400574,2
-33.8609,151.211,2
-33.9110983,151.14084721,2
-32.0884399,115.9573288,2
-33.86389,151.20705,2
-33.89071714,151.28213663,2
-33.84861111,151.21444444,2
-33.7930599,150.8889299,2
-38.33180205,144.96705557,2
-33.9068,151.115,2
-27.73299,153.2143199,2
-37.817405,145.00219722,2
-37.8844,145.058,2
-37.90470408,145.26397064,2
-37.69,144.894,2
-33.86757909,151.12979717,2
-34.92215,138.58733,2
-33.8846268,151.27455774,2
-33.8667,151.067,2
-34.9247,138.598,2
-33.87183,151.20738,2
-31.96896542,115.88943243,2
-37.81854767,144.9709558,2
-33.88667,151.23015,2
-33.85642,151.21516333,2
-37.8388,144.97429,2
-37.82326452,144.95813343,2
-33.8694,151.118,2
-33.8848,151.226,2
-37.7667,145,2
-33.88011752,151.21579064,2
-38.3614,144.777,2
-37.8092918,144.9898071,2
