Location,DayOfWeek,TimeOfDay,Count,Sum,Avg
Adelaide,Sunday,00,23910,602197.210000016,25.1859979088254
Adelaide,Sunday,01,20749,515635.810000003,24.8511161983711
Adelaide,Sunday,02,18713,458182.239999996,24.4847026131564
Adelaide,Sunday,03,18038,457888.079999997,25.3846368777025
Adelaide,Sunday,04,17354,425220.379999995,24.5027302062922
Adelaide,Sunday,05,18084,499510.549999995,27.6216849148416
Adelaide,Sunday,06,18622,473146.619999994,25.4079379228866
Adelaide,Sunday,07,21946,551462.230000002,25.1281431695982
Adelaide,Sunday,08,25659,649159.990000014,25.2995046572358
Adelaide,Sunday,09,28564,706636.580000028,24.738712365216
Adelaide,Sunday,10,31154,824546.920000039,26.4668074725569
Adelaide,Sunday,11,31530,802310.31000004,25.445934348241
Adelaide,Sunday,12,29693,747553.630000025,25.1760896507603
Adelaide,Sunday,13,27985,663018.790000021,23.6919346078264
Adelaide,Sunday,14,26983,633012.04000002,23.4596612682067
Adelaide,Sunday,15,25633,597846.610000012,23.3233179885309
Adelaide,Sunday,16,25065,573000.650000012,22.8605884699786
Adelaide,Sunday,17,25911,599263.900000018,23.1277797074608
Adelaide,Sunday,18,26755,611496.340000011,22.85540422351
Adelaide,Sunday,19,28114,664968.76000003,23.6525844774856
Adelaide,Sunday,20,29212,651039.210000025,22.2867044365338
Adelaide,Sunday,21,30290,690419.810000028,22.7936550016516
Adelaide,Sunday,22,29170,682835.240000016,23.4088186492978
Adelaide,Sunday,23,26478,630440.660000023,23.8099803610553
Adelaide,Monday,00,23654,563013.880000006,23.8020580028751
Adelaide,Monday,01,21289,486175.760000002,22.8369467800274
Adelaide,Monday,02,19404,445423.019999999,22.9552164502164
Adelaide,Monday,03,18270,401569.629999996,21.9797279693484
Adelaide,Monday,04,17141,403064.829999996,23.5146625051045
Adelaide,Monday,05,18435,443211.29,24.0418383509628
Adelaide,Monday,06,21261,489772.07,23.0361728046658
Adelaide,Monday,07,24674,549197.110000003,22.2581304206859
Adelaide,Monday,08,27576,609745.870000009,22.1114690310418
Adelaide,Monday,09,30814,732888.72000002,23.7842772765633
Adelaide,Monday,10,32608,753541.970000018,23.1091134077533
Adelaide,Monday,11,33704,775918.210000023,23.021546700689
Adelaide,Monday,12,31463,692983.540000017,22.0253485045932
Adelaide,Monday,13,28796,651202.040000011,22.6143228226147
Adelaide,Monday,14,26504,614046.730000015,23.1680776486574
Adelaide,Monday,15,24907,580428.640000008,23.3038358694346
Adelaide,Monday,16,26498,578703.770000013,21.8395263793499
Adelaide,Monday,17,25796,540587.100000005,20.9562374011476
Adelaide,Monday,18,26519,511555.7,19.2901579999246
Adelaide,Monday,19,27792,617833.400000005,22.2306203223951
Adelaide,Monday,20,29661,657718.500000015,22.1745220997274
Adelaide,Monday,21,31142,673730.890000018,21.6341561235636
Adelaide,Monday,22,30071,638127.760000013,21.2207030028936
Adelaide,Monday,23,26440,592515.050000011,22.4097976550685
Adelaide,Tuesday,00,22828,530436.840000009,23.236237953391
Adelaide,Tuesday,01,20630,484185.130000003,23.4699529810957
Adelaide,Tuesday,02,18704,430995.939999996,23.0429822497859
Adelaide,Tuesday,03,17995,450897.649999999,25.0568296749096
Adelaide,Tuesday,04,17486,440132.289999996,25.1705530138394
Adelaide,Tuesday,05,17864,428656.559999999,23.995553067622
Adelaide,Tuesday,06,20909,490952.090000004,23.4804194366064
Adelaide,Tuesday,07,24310,535389.900000009,22.023443027561
Adelaide,Tuesday,08,27604,603315.420000007,21.8560867990149
Adelaide,Tuesday,09,31853,713671.55000002,22.405159639595
Adelaide,Tuesday,10,33925,824945.370000031,24.3167389830518
Adelaide,Tuesday,11,34752,857110.060000023,24.6636182090246
Adelaide,Tuesday,12,32152,768076.790000029,23.8889272829071
Adelaide,Tuesday,13,29362,713478.610000021,24.2993873033179
Adelaide,Tuesday,14,26537,623382.290000014,23.4910611598905
Adelaide,Tuesday,15,25059,550116.450000008,21.9528492757096
Adelaide,Tuesday,16,25008,556562.370000007,22.2553730806145
Adelaide,Tuesday,17,25637,527918.75000001,20.5920642040804
Adelaide,Tuesday,18,26405,520946.900000006,19.7291005491386
Adelaide,Tuesday,19,27294,616758.290000019,22.5968450941606
Adelaide,Tuesday,20,29768,662161.470000021,22.2440698065043
Adelaide,Tuesday,21,30950,670232.820000022,21.6553415185791
Adelaide,Tuesday,22,29393,637343.25000002,21.6835045759201
Adelaide,Tuesday,23,25988,577184.180000008,22.2096421425276
Adelaide,Wednesday,00,22637,506399.590000004,22.3704373371032
Adelaide,Wednesday,01,20395,464299.620000001,22.7653650404511
Adelaide,Wednesday,02,18931,418987.549999992,22.1323516982722
Adelaide,Wednesday,03,18190,396747.429999994,21.8112935678941
Adelaide,Wednesday,04,17495,386061.259999993,22.0669482709342
Adelaide,Wednesday,05,18195,403573.459999994,22.1804594668862
Adelaide,Wednesday,06,20541,408369.259999989,19.8806903266632
Adelaide,Wednesday,07,24493,505999.43,20.6589405136161
Adelaide,Wednesday,08,27404,591671.850000012,21.5907112100428
Adelaide,Wednesday,09,30989,679291.120000018,21.9203949788641
Adelaide,Wednesday,10,33746,744416.190000032,22.0593904462761
Adelaide,Wednesday,11,33241,718920.810000018,21.6275325652062
Adelaide,Wednesday,12,31934,678360.810000018,21.2425881505611
Adelaide,Wednesday,13,29163,587870.840000014,20.1581058190177
Adelaide,Wednesday,14,26559,517913.190000002,19.5004778041343
Adelaide,Wednesday,15,24530,485908.489999999,19.8087439869547
Adelaide,Wednesday,16,24498,493674.570000002,20.1516274797943
Adelaide,Wednesday,17,24435,463010.889999997,18.9486756701452
Adelaide,Wednesday,18,25203,472090.850000003,18.7315339443718
Adelaide,Wednesday,19,26601,575511.440000005,21.634955076877
Adelaide,Wednesday,20,28708,626876.42000002,21.8362971993876
Adelaide,Wednesday,21,29830,654110.140000019,21.9279296010734
Adelaide,Wednesday,22,28072,617313.840000013,21.9903761755491
Adelaide,Wednesday,23,24740,533816.290000007,21.5770529506874
Adelaide,Thursday,00,21753,458718.11,21.0875791844803
Adelaide,Thursday,01,19338,404054.209999994,20.8943122349774
Adelaide,Thursday,02,18149,400884.179999996,22.0884996418533
Adelaide,Thursday,03,16752,372301.509999995,22.2243021728746
Adelaide,Thursday,04,16723,394960.079999995,23.617776714704
Adelaide,Thursday,05,18171,445462.65,24.5150321941555
Adelaide,Thursday,06,20438,451778.979999998,22.1048527253155
Adelaide,Thursday,07,24477,552470.400000006,22.5710013482047
Adelaide,Thursday,08,28011,629900.870000014,22.4876252186646
Adelaide,Thursday,09,31105,721050.110000023,23.1811641215246
Adelaide,Thursday,10,31986,749917.940000025,23.4451928968932
Adelaide,Thursday,11,32885,767259.880000026,23.331606507527
Adelaide,Thursday,12,32035,762636.780000028,23.806361167474
Adelaide,Thursday,13,29138,678504.360000021,23.2858933351644
Adelaide,Thursday,14,27743,645031.770000018,23.2502530368027
Adelaide,Thursday,15,25413,598705.150000006,23.559011136033
Adelaide,Thursday,16,25893,585168.130000009,22.5994720580855
Adelaide,Thursday,17,26538,577155.690000005,21.7482737960662
Adelaide,Thursday,18,27231,586752.760000009,21.5472351364257
Adelaide,Thursday,19,27976,653353.480000027,23.3540706319712
