Location,SentimentBand,Count,Total
Adelaide,-95,1391,6833902
Adelaide,-90,14411,6833902
Adelaide,-85,29575,6833902
Adelaide,-80,41667,6833902
Adelaide,-75,49898,6833902
Adelaide,-70,61215,6833902
Adelaide,-65,81021,6833902
Adelaide,-60,69348,6833902
Adelaide,-55,89735,6833902
Adelaide,-50,124789,6833902
Adelaide,-45,116649,6833902
Adelaide,-40,70224,6833902
Adelaide,-35,105859,6833902
Adelaide,-30,100990,6833902
Adelaide,-25,110590,6833902
Adelaide,-20,87806,6833902
Adelaide,-15,71077,6833902
Adelaide,-10,61899,6833902
Adelaide,-5,62553,6833902
Adelaide,0,2520782,6833902
Adelaide,5,52670,6833902
Adelaide,10,73511,6833902
Adelaide,15,62216,6833902
Adelaide,20,84739,6833902
Adelaide,25,126737,6833902
Adelaide,30,119108,6833902
Adelaide,35,168211,6833902
Adelaide,40,256706,6833902
Adelaide,45,238567,6833902
Adelaide,50,210143,6833902
Adelaide,55,174966,6833902
Adelaide,60,232157,6833902
Adelaide,65,206307,6833902
Adelaide,70,170998,6833902
Adelaide,75,177661,6833902
Adelaide,80,170536,6833902
Adelaide,85,166649,6833902
Adelaide,90,142145,6833902
Adelaide,95,101452,6833902
Adelaide,100,26944,6833902
Brisbane,-95,1655,11923812
Brisbane,-90,12176,11923812
Brisbane,-85,41411,11923812
Brisbane,-80,56614,11923812
Brisbane,-75,73795,11923812
Brisbane,-70,90158,11923812
Brisbane,-65,106473,11923812
Brisbane,-60,109656,11923812
Brisbane,-55,138224,11923812
Brisbane,-50,192547,11923812
Brisbane,-45,189203,11923812
Brisbane,-40,116978,11923812
Brisbane,-35,170731,11923812
Brisbane,-30,151888,11923812
Brisbane,-25,199832,11923812
Brisbane,-20,141074,11923812
Brisbane,-15,94630,11923812
Brisbane,-10,104815,11923812
Brisbane,-5,100647,11923812
Brisbane,0,5051383,11923812
Brisbane,5,79598,11923812
Brisbane,10,130201,11923812
Brisbane,15,101432,11923812
Brisbane,20,136179,11923812
Brisbane,25,208844,11923812
Brisbane,30,212496,11923812
Brisbane,35,303251,11923812
Brisbane,40,443914,11923812
Brisbane,45,390322,11923812
Brisbane,50,326732,11923812
Brisbane,55,287517,11923812
Brisbane,60,365101,11923812
