Hour,SentimentBand,Count,Total
00,-95,579,3585066
00,-90,4626,3585066
00,-85,15694,3585066
00,-80,18768,3585066
00,-75,24252,3585066
00,-70,28411,3585066
00,-65,32571,3585066
00,-60,37637,3585066
00,-55,42464,3585066
00,-50,61119,3585066
00,-45,58588,3585066
00,-40,37731,3585066
00,-35,50450,3585066
00,-30,46005,3585066
00,-25,63733,3585066
00,-20,41732,3585066
00,-15,28182,3585066
00,-10,34223,3585066
00,-5,29068,3585066
00,0,1545131,3585066
00,5,22088,3585066
00,10,37828,3585066
00,15,28963,3585066
00,20,42027,3585066
00,25,61206,3585066
00,30,60201,3585066
00,35,79625,3585066
00,40,120798,3585066
00,45,119110,3585066
00,50,95864,3585066
00,55,86182,3585066
00,60,107707,3585066
00,65,99953,3585066
00,70,77882,3585066
00,75,82760,3585066
00,80,76182,3585066
00,85,77462,3585066
00,90,62727,3585066
00,95,38487,3585066
00,100,7050,3585066
01,-95,480,3170492
01,-90,4003,3170492
01,-85,13831,3170492
01,-80,16709,3170492
01,-75,21140,3170492
01,-70,24787,3170492
01,-65,29024,3170492
01,-60,32926,3170492
01,-55,37049,3170492
01,-50,53300,3170492
01,-45,50843,3170492
01,-40,32210,3170492
01,-35,44469,3170492
01,-30,40518,3170492
01,-25,55075,3170492
01,-20,36443,3170492
01,-15,24929,3170492
01,-10,30172,3170492
01,-5,24995,3170492
01,0,1379727,3170492
01,5,19099,3170492
01,10,33044,3170492
01,15,25346,3170492
01,20,36917,3170492
01,25,53481,3170492
01,30,53153,3170492
01,35,70185,3170492
01,40,106594,3170492
01,45,104125,3170492
01,50,83255,3170492
01,55,76516,3170492
01,60,95784,3170492
01,65,88286,3170492
01,70,68383,3170492
01,75,73541,3170492
01,80,66279,3170492
01,85,68397,3170492
01,90,55161,3170492
01,95,34055,3170492
01,100,6261,3170492
02,-95,427,2911142
02,-90,3915,2911142
02,-85,12290,2911142
02,-80,14959,2911142
02,-75,18709,2911142
02,-70,22962,2911142
02,-65,26305,2911142
02,-60,29765,2911142
02,-55,33909,2911142
02,-50,49492,2911142
02,-45,46528,2911142
02,-40,29561,2911142
02,-35,40124,2911142
02,-30,37375,2911142
02,-25,50674,2911142
02,-20,33291,2911142
02,-15,22635,2911142
02,-10,28124,2911142
02,-5,23069,2911142
02,0,1268224,2911142
02,5,17581,2911142
02,10,30303,2911142
02,15,23343,2911142
02,20,34550,2911142
02,25,48555,2911142
02,30,48782,2911142
02,35,65351,2911142
02,40,99359,2911142
02,45,95893,2911142
02,50,77912,2911142
02,55,69144,2911142
02,60,86956,2911142
02,65,80147,2911142
02,70,62841,2911142
02,75,66575,2911142
02,80,61465,2911142
02,85,62137,2911142
02,90,50860,2911142
02,95,31439,2911142
02,100,5611,2911142
03,-95,412,2752731
03,-90,3584,2752731
03,-85,11491,2752731
03,-80,13842,2752731
03,-75,17996,2752731
03,-70,21406,2752731
03,-65,24483,2752731
03,-60,27719,2752731
03,-55,32546,2752731
03,-50,45546,2752731
03,-45,43844,2752731
03,-40,27815,2752731
03,-35,38165,2752731
03,-30,35179,2752731
03,-25,46636,2752731
03,-20,31312,2752731
03,-15,20923,2752731
03,-10,26442,2752731
03,-5,22061,2752731
03,0,1202541,2752731
03,5,16948,2752731
03,10,28216,2752731
03,15,22167,2752731
03,20,33007,2752731
03,25,46628,2752731
03,30,46567,2752731
03,35,61269,2752731
03,40,93218,2752731
03,45,90116,2752731
03,50,72335,2752731
03,55,65694,2752731
03,60,81989,2752731
03,65,75817,2752731
03,70,60089,2752731
03,75,63541,2752731
03,80,58643,2752731
03,85,60205,2752731
03,90,47380,2752731
03,95,29764,2752731
03,100,5195,2752731
04,-95,357,2706320
04,-90,3683,2706320
04,-85,10972,2706320
04,-80,13885,2706320
04,-75,17367,2706320
04,-70,21360,2706320
04,-65,24317,2706320
04,-60,27477,2706320
04,-55,31748,2706320
04,-50,44251,2706320
04,-45,43295,2706320
04,-40,27689,2706320
04,-35,37529,2706320
04,-30,34091,2706320
04,-25,44915,2706320
04,-20,30946,2706320
04,-15,21131,2706320
04,-10,25426,2706320
04,-5,21320,2706320
04,0,1181761,2706320
04,5,16459,2706320
04,10,27933,2706320
04,15,21171,2706320
04,20,33109,2706320
04,25,46009,2706320
04,30,46178,2706320
04,35,59856,2706320
04,40,91110,2706320
04,45,88715,2706320
04,50,73664,2706320
04,55,65131,2706320
04,60,80533,2706320
04,65,74751,2706320
04,70,59008,2706320
04,75,62023,2706320
04,80,57581,2706320
04,85,58531,2706320
04,90,46738,2706320
04,95,29212,2706320
04,100,5088,2706320
05,-95,393,2824649
05,-90,3704,2824649
05,-85,11771,2824649
05,-80,14531,2824649
05,-75,18738,2824649
05,-70,22714,2824649
05,-65,25182,2824649
05,-60,28600,2824649
05,-55,33018,2824649
05,-50,46889,2824649
05,-45,45503,2824649
05,-40,29297,2824649
05,-35,39918,2824649
05,-30,35945,2824649
05,-25,47666,2824649
05,-20,33013,2824649
05,-15,22098,2824649
05,-10,25505,2824649
05,-5,22984,2824649
05,0,1225917,2824649
05,5,17531,2824649
05,10,29344,2824649
05,15,22096,2824649
05,20,34308,2824649
05,25,48281,2824649
05,30,48348,2824649
05,35,62160,2824649
05,40,94552,2824649
05,45,92326,2824649
05,50,75772,2824649
05,55,67482,2824649
05,60,84507,2824649
05,65,77736,2824649
05,70,62540,2824649
05,75,65381,2824649
05,80,60843,2824649
05,85,61662,2824649
05,90,49313,2824649
05,95,31443,2824649
05,100,5638,2824649
06,-95,401,3281392
06,-90,4264,3281392
06,-85,12914,3281392
06,-80,17090,3281392
06,-75,21922,3281392
06,-70,26431,3281392
06,-65,29143,3281392
06,-60,34144,3281392
06,-55,39451,3281392
06,-50,55084,3281392
06,-45,53246,3281392
06,-40,34219,3281392
06,-35,47532,3281392
06,-30,43307,3281392
06,-25,56724,3281392
06,-20,39903,3281392
06,-15,26086,3281392
06,-10,28686,3281392
06,-5,27148,3281392
06,0,1409858,3281392
06,5,20552,3281392
06,10,33902,3281392
06,15,26725,3281392
06,20,39999,3281392
06,25,57930,3281392
06,30,56792,3281392
06,35,72328,3281392
06,40,110173,3281392
06,45,108800,3281392
06,50,88481,3281392
06,55,79194,3281392
06,60,100246,3281392
06,65,91252,3281392
06,70,71895,3281392
06,75,75519,3281392
06,80,70422,3281392
06,85,71021,3281392
06,90,56950,3281392
06,95,35655,3281392
06,100,6003,3281392
07,-95,603,3907822
07,-90,5368,3907822
07,-85,15438,3907822
07,-80,20819,3907822
07,-75,26886,3907822
07,-70,32719,3907822
07,-65,36111,3907822
07,-60,41246,3907822
07,-55,47688,3907822
07,-50,67305,3907822
07,-45,65490,3907822
07,-40,41541,3907822
07,-35,58410,3907822
07,-30,52264,3907822
07,-25,69201,3907822
07,-20,48753,3907822
07,-15,32383,3907822
07,-10,35211,3907822
07,-5,32337,3907822
07,0,1654780,3907822
07,5,25281,3907822
07,10,41190,3907822
07,15,32757,3907822
07,20,47711,3907822
07,25,69737,3907822
07,30,67444,3907822
07,35,88119,3907822
07,40,132621,3907822
07,45,129826,3907822
07,50,106455,3907822
07,55,95118,3907822
07,60,121258,3907822
07,65,107474,3907822
07,70,84927,3907822
07,75,90712,3907822
07,80,83783,3907822
07,85,84211,3907822
07,90,66823,3907822
07,95,40997,3907822
07,100,6825,3907822
08,-95,683,4393050
08,-90,5590,4393050
08,-85,17103,4393050
08,-80,24026,4393050
08,-75,29956,4393050
08,-70,36720,4393050
08,-65,40774,4393050
08,-60,46827,4393050
08,-55,53953,4393050
08,-50,75733,4393050
08,-45,75124,4393050
08,-40,46297,4393050
08,-35,66247,4393050
08,-30,59610,4393050
08,-25,77711,4393050
08,-20,54779,4393050
08,-15,36540,4393050
08,-10,38881,4393050
08,-5,37184,4393050
08,0,1843567,4393050
08,5,29114,4393050
08,10,47214,4393050
08,15,37704,4393050
08,20,53651,4393050
08,25,78431,4393050
08,30,76425,4393050
08,35,101063,4393050
08,40,151817,4393050
08,45,146682,4393050
08,50,122049,4393050
08,55,108768,4393050
08,60,136589,4393050
08,65,123270,4393050
08,70,95882,4393050
08,75,102767,4393050
08,80,93688,4393050
08,85,92957,4393050
08,90,74123,4393050
08,95,45456,4393050
08,100,8095,4393050
09,-95,643,4711430
09,-90,5730,4711430
09,-85,17975,4711430
09,-80,24607,4711430
09,-75,32141,4711430
09,-70,38288,4711430
09,-65,43418,4711430
09,-60,49127,4711430
09,-55,56386,4711430
09,-50,80247,4711430
09,-45,79146,4711430
09,-40,49399,4711430
09,-35,69970,4711430
09,-30,63366,4711430
09,-25,83851,4711430
09,-20,58070,4711430
09,-15,38898,4711430
09,-10,41718,4711430
09,-5,39417,4711430
09,0,1972612,4711430
09,5,30562,4711430
09,10,50672,4711430
09,15,40792,4711430
09,20,58144,4711430
09,25,85628,4711430
09,30,83324,4711430
09,35,109013,4711430
09,40,166295,4711430
09,45,157809,4711430
09,50,131238,4711430
09,55,118218,4711430
09,60,148627,4711430
09,65,132640,4711430
09,70,104996,4711430
09,75,111308,4711430
09,80,102033,4711430
09,85,100562,4711430
09,90,79821,4711430
09,95,46599,4711430
09,100,8140,4711430
10,-95,617,4871202
10,-90,6025,4871202
10,-85,18992,4871202
10,-80,25195,4871202
10,-75,33474,4871202
10,-70,39088,4871202
10,-65,44727,4871202
10,-60,50728,4871202
10,-55,58395,4871202
10,-50,84101,4871202
10,-45,82194,4871202
10,-40,50355,4871202
10,-35,72415,4871202
10,-30,66033,4871202
10,-25,86444,4871202
10,-20,59264,4871202
10,-15,39891,4871202
10,-10,43978,4871202
10,-5,41150,4871202
10,0,2038583,4871202
10,5,31566,4871202
10,10,52918,4871202
10,15,41773,4871202
10,20,60294,4871202
10,25,87194,4871202
10,30,86239,4871202
10,35,112252,4871202
10,40,171367,4871202
10,45,162650,4871202
10,50,136228,4871202
10,55,121826,4871202
10,60,153613,4871202
10,65,138515,4871202
10,70,108486,4871202
10,75,115307,4871202
10,80,105544,4871202
10,85,104532,4871202
10,90,82243,4871202
10,95,48520,4871202
10,100,8486,4871202
11,-95,729,4902250
11,-90,6256,4902250
11,-85,19683,4902250
11,-80,26087,4902250
11,-75,34103,4902250
11,-70,40057,4902250
11,-65,44764,4902250
11,-60,51357,4902250
11,-55,59015,4902250
11,-50,84151,4902250
11,-45,83467,4902250
